epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1345.7,1.46304,1.67005,1.55036,0.70386,0.4919,0.56262,0.31764,1.63153,1.57174,1.81909,0.000250484,0.000250484,0.000250484
43,1377.09,1.45191,1.64653,1.54097,0.69748,0.51084,0.5458,0.30461,1.65848,1.57009,1.82554,0.000240325,0.000240325,0.000240325
44,1408.1,1.42133,1.60494,1.51863,0.66153,0.53007,0.57472,0.32136,1.65554,1.53654,1.8271,0.000230166,0.000230166,0.000230166
45,1439.83,1.43551,1.62807,1.53119,0.67277,0.56405,0.5717,0.3238,1.60979,1.52768,1.79448,0.000220007,0.000220007,0.000220007
46,1470.81,1.43949,1.60866,1.52993,0.68112,0.53282,0.57428,0.3238,1.63257,1.54333,1.81015,0.000209848,0.000209848,0.000209848
47,1502.27,1.38721,1.57042,1.49773,0.68679,0.52809,0.57944,0.3243,1.62668,1.49933,1.79542,0.00019969,0.00019969,0.00019969
48,1533.2,1.42101,1.56275,1.51495,0.66868,0.54237,0.58083,0.33853,1.60555,1.49515,1.78608,0.000189531,0.000189531,0.000189531
49,1564.35,1.40324,1.57644,1.50737,0.66011,0.53885,0.57299,0.33155,1.64155,1.50552,1.79981,0.000179372,0.000179372,0.000179372
50,1595.75,1.39672,1.57428,1.51027,0.74891,0.50427,0.58448,0.3365,1.62919,1.49765,1.80455,0.000169213,0.000169213,0.000169213
51,1627.18,1.37787,1.53518,1.48628,0.7337,0.56481,0.61029,0.33818,1.61727,1.44625,1.78662,0.000159054,0.000159054,0.000159054
52,1659.18,1.38193,1.53884,1.48697,0.73842,0.56116,0.59942,0.3359,1.60989,1.47273,1.778,0.000148895,0.000148895,0.000148895
53,1690.17,1.3806,1.52472,1.48749,0.72163,0.55142,0.59263,0.34947,1.57471,1.44989,1.77028,0.000138736,0.000138736,0.000138736
54,1721.26,1.37096,1.52229,1.48575,0.73503,0.53744,0.58743,0.33727,1.60528,1.46866,1.7845,0.000128577,0.000128577,0.000128577
55,1751.92,1.36748,1.49107,1.47777,0.76003,0.53514,0.59762,0.34607,1.59032,1.44817,1.76797,0.000118418,0.000118418,0.000118418
56,1819.84,1.41301,1.42655,1.61351,0.7444,0.53676,0.59059,0.3411,1.59363,1.47721,1.77899,0.000108259,0.000108259,0.000108259
57,1850.49,1.34874,1.34604,1.56549,0.69338,0.57733,0.59217,0.34707,1.58001,1.43995,1.76776,9.81003e-05,9.81003e-05,9.81003e-05
58,1881.12,1.34713,1.30437,1.56543,0.74477,0.55625,0.60011,0.35201,1.57033,1.43577,1.76065,8.79414e-05,8.79414e-05,8.79414e-05
59,1911.24,1.33565,1.30917,1.56742,0.68209,0.59081,0.59351,0.33946,1.59004,1.45264,1.78319,7.77825e-05,7.77825e-05,7.77825e-05
60,1941.36,1.32905,1.27528,1.54508,0.71167,0.57221,0.59791,0.35269,1.56764,1.41174,1.75678,6.76235e-05,6.76235e-05,6.76235e-05
61,1971.58,1.32538,1.25293,1.54516,0.7255,0.55235,0.60495,0.35225,1.56632,1.41306,1.75504,5.74646e-05,5.74646e-05,5.74646e-05
62,2001.8,1.30393,1.23582,1.53046,0.79822,0.5218,0.60746,0.3547,1.55891,1.40608,1.74936,4.73057e-05,4.73057e-05,4.73057e-05
63,2031.81,1.29444,1.24618,1.52885,0.68223,0.58341,0.61,0.35658,1.56987,1.38923,1.75949,3.71468e-05,3.71468e-05,3.71468e-05
64,2061.92,1.27451,1.22036,1.50222,0.79025,0.54915,0.61542,0.35369,1.57273,1.40068,1.76409,2.69878e-05,2.69878e-05,2.69878e-05
65,2092.33,1.27605,1.21402,1.5097,0.78365,0.52766,0.6091,0.35725,1.56844,1.40425,1.75751,1.68289e-05,1.68289e-05,1.68289e-05
