                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3926,                 1.5189,                  1.478,                0.65026,                0.54164,                0.57686,                 0.3375,                   1.57,                 1.4595,                 1.7193,             0.00052613,             0.00052613,             0.00052613
                     35,                 1.3909,                 1.5294,                 1.4769,                 0.6246,                0.54537,                0.56353,                0.33457,                 1.6088,                 1.5065,                 1.7413,             0.00052173,             0.00052173,             0.00052173
                     36,                 1.3826,                 1.5183,                 1.4619,                0.70211,                0.59797,                0.60782,                0.34504,                 1.6252,                 1.4471,                 1.7378,             0.00051733,             0.00051733,             0.00051733
                     37,                 1.3738,                 1.4811,                 1.4549,                0.70114,                0.57186,                0.60839,                0.33485,                 1.6677,                 1.4988,                 1.7472,             0.00051292,             0.00051292,             0.00051292
                     38,                 1.3798,                 1.4882,                 1.4576,                 0.6832,                0.60776,                0.62646,                0.34975,                  1.603,                 1.3961,                 1.7032,             0.00050852,             0.00050852,             0.00050852
                     39,                 1.3844,                  1.511,                 1.4648,                0.66148,                0.58369,                0.59893,                0.32301,                  1.598,                 1.5198,                  1.709,             0.00050412,             0.00050412,             0.00050412
                     40,                 1.3768,                 1.4905,                  1.456,                0.70865,                0.56416,                0.60841,                0.34222,                 1.5994,                 1.4684,                 1.6956,             0.00049972,             0.00049972,             0.00049972
                     41,                 1.3397,                 1.4346,                 1.4346,                0.74863,                0.58846,                0.62079,                 0.3454,                 1.6325,                 1.4262,                 1.7084,             0.00049531,             0.00049531,             0.00049531
                     42,                 1.3547,                 1.4251,                 1.4381,                0.71096,                 0.6008,                0.62221,                0.35749,                 1.5939,                 1.3802,                 1.6975,             0.00049091,             0.00049091,             0.00049091
                     43,                 1.3575,                 1.4369,                 1.4487,                0.68407,                0.54932,                0.59162,                0.34482,                 1.5881,                 1.4555,                 1.6959,             0.00048651,             0.00048651,             0.00048651
                     44,                 1.3297,                 1.4072,                 1.4298,                0.73731,                0.59957,                0.62474,                0.34872,                 1.6287,                 1.4221,                 1.7261,             0.00048211,             0.00048211,             0.00048211
