                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                 1.4721,                 1.7225,                 1.5334,                0.71431,                0.49856,                0.52477,                0.29369,                 1.6507,                 1.6282,                  1.788,             0.00054154,             0.00054154,             0.00054154
                     22,                 1.4695,                 1.6845,                 1.5224,                0.75316,                0.47135,                0.51851,                0.28239,                 1.6874,                 1.6428,                 1.7929,             0.00053493,             0.00053493,             0.00053493
                     23,                 1.4696,                 1.6936,                 1.5309,                0.71325,                0.51184,                0.56456,                0.29784,                 1.6634,                  1.629,                 1.7641,             0.00052833,             0.00052833,             0.00052833
                     24,                 1.4568,                 1.6996,                 1.5246,                0.70272,                  0.535,                0.56441,                0.30169,                 1.6172,                 1.5301,                 1.7344,             0.00052173,             0.00052173,             0.00052173
                     25,                 1.4322,                 1.6662,                 1.5071,                0.70771,                0.52337,                0.54912,                0.30664,                 1.6342,                 1.5515,                 1.7329,             0.00051512,             0.00051512,             0.00051512
                     26,                 1.4393,                 1.6696,                 1.5144,                0.72208,                0.53219,                0.58675,                0.32541,                 1.6514,                 1.5744,                 1.7366,             0.00050852,             0.00050852,             0.00050852
                     27,                 1.4426,                 1.6261,                 1.5028,                 0.6514,                0.53853,                0.56266,                0.31634,                 1.6392,                 1.5315,                 1.7126,             0.00050192,             0.00050192,             0.00050192
                     28,                 1.4388,                 1.6382,                 1.5099,                0.70355,                0.56644,                0.58709,                0.32163,                 1.6409,                 1.5243,                 1.7338,             0.00049531,             0.00049531,             0.00049531
                     29,                 1.4072,                 1.5935,                 1.4863,                0.60192,                 0.5962,                0.57936,                0.31443,                 1.6653,                 1.5573,                 1.7625,             0.00048871,             0.00048871,             0.00048871
                     30,                 1.4056,                  1.596,                 1.4941,                0.80369,                0.50332,                0.61496,                0.34187,                 1.6095,                 1.4538,                 1.7212,             0.00048211,             0.00048211,             0.00048211
                     31,                 1.4005,                 1.5726,                 1.4841,                0.64334,                0.58169,                0.57836,                0.31101,                  1.646,                 1.5604,                 1.7699,              0.0004755,              0.0004755,              0.0004755
