                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9803,                 3.8935,                 1.9999,                0.38628,                0.21818,                0.14734,                0.07043,                 2.0693,                  3.153,                 2.1738,             0.00022092,             0.00022092,             0.00022092
                      2,                 1.8254,                 3.1734,                 1.8231,                0.42407,                0.25734,                0.13348,                0.04698,                 2.3741,                 3.7616,                 2.4633,             0.00043886,             0.00043886,             0.00043886
                      3,                 1.8214,                 2.8775,                 1.8117,                0.52013,                 0.2753,                0.22554,                0.10163,                 2.1214,                  2.713,                 2.1592,             0.00065241,             0.00065241,             0.00065241
                      4,                 1.7745,                 2.7077,                 1.7984,                0.45543,                0.24952,                0.23377,                0.11568,                 1.9674,                 2.7133,                 2.1193,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.7413,                 2.5087,                 1.7464,                0.47745,                 0.4011,                0.32517,                0.14832,                 1.8956,                 2.3686,                 2.0144,             0.00064719,             0.00064719,             0.00064719
                      6,                 1.7004,                 2.3839,                 1.7183,                0.72745,                0.29682,                0.33462,                0.14386,                 1.9693,                  2.348,                 2.0034,             0.00064059,             0.00064059,             0.00064059
                      7,                 1.6919,                  2.293,                 1.7256,                0.61138,                0.35127,                0.35553,                0.16126,                 1.9034,                 2.2884,                  1.994,             0.00063398,             0.00063398,             0.00063398
                      8,                 1.6676,                 2.2138,                 1.6869,                0.49991,                0.41768,                0.39055,                0.19389,                  1.788,                  2.145,                 1.9343,             0.00062738,             0.00062738,             0.00062738
                      9,                 1.6325,                  2.135,                 1.6658,                0.71156,                0.37315,                0.42224,                0.21738,                 1.8031,                 2.0552,                 1.8536,             0.00062078,             0.00062078,             0.00062078
                     10,                 1.6345,                 2.0799,                 1.6631,                0.55169,                0.46439,                0.46243,                0.22912,                 1.7938,                  1.995,                 1.9112,             0.00061417,             0.00061417,             0.00061417
                     11,                 1.6029,                 2.0565,                 1.6415,                0.65881,                0.44432,                0.44992,                0.22684,                  1.797,                 2.5693,                 1.8656,             0.00060757,             0.00060757,             0.00060757
                     12,                 1.5693,                 1.9637,                 1.6205,                0.66348,                0.40534,                0.44562,                0.24232,                  1.776,                 1.9006,                 1.9164,             0.00060097,             0.00060097,             0.00060097
                     13,                  1.574,                 1.9688,                 1.6251,                0.51482,                0.46435,                 0.4812,                0.24723,                 1.7632,                 1.7983,                 1.8439,             0.00059436,             0.00059436,             0.00059436
                     14,                 1.5785,                 1.9457,                 1.6138,                0.64654,                0.44289,                0.45946,                0.24917,                 1.7443,                 1.8711,                 1.8572,             0.00058776,             0.00058776,             0.00058776
                     15,                 1.5442,                 1.8967,                 1.5927,                0.56995,                0.49592,                0.49466,                0.26127,                 1.6756,                 1.8098,                 1.7815,             0.00058116,             0.00058116,             0.00058116
                     16,                  1.533,                 1.8954,                 1.5865,                0.60024,                0.52114,                  0.528,                0.27294,                 1.7068,                 1.7704,                 1.8315,             0.00057455,             0.00057455,             0.00057455
                     17,                 1.5332,                 1.8493,                  1.581,                0.71726,                0.47844,                0.51916,                0.26957,                 1.6937,                 1.7763,                 1.8173,             0.00056795,             0.00056795,             0.00056795
                     18,                 1.5184,                  1.858,                 1.5814,                0.60467,                0.51996,                0.50355,                0.27289,                 1.6893,                 1.7871,                 1.8042,             0.00056135,             0.00056135,             0.00056135
                     19,                 1.4981,                 1.8131,                 1.5624,                0.67365,                0.53493,                 0.5413,                0.28314,                 1.6879,                 1.6947,                 1.7938,             0.00055474,             0.00055474,             0.00055474
                     20,                 1.4967,                 1.7659,                 1.5592,                0.58774,                0.51038,                0.53657,                0.27365,                 1.7302,                 1.7507,                  1.836,             0.00054814,             0.00054814,             0.00054814
